VSTRANA;NAZEVCELK;NAZEV_STRV;ZKRATKAV30;ZKRATKAV8;POCSTR_SLO;SLOZENI;ZKRATKA_OF;TYPVS
1;"Křesťanská a demokratická unie - Československá strana lidová";"Křesťan.a demokrat.unie-Českosl.strana lidová";"Křesť.demokr.unie-Čs.str.lid.";"KDU-ČSL";1;"001";"KDU-ČSL";"S"
2;"Česká strana národně sociální";"Česká strana národně sociální";"Česká strana národně sociální";"ČSNS";1;"002";"ČSNS";"S"
5;"Strana zelených";"Strana zelených";"Strana zelených";"Zelení";1;"005";"Zelení";"S"
7;"Česká strana sociálně demokratická";"Česká strana sociálně demokratická";"Česká str.sociálně demokrat.";"ČSSD";1;"007";"ČSSD";"S"
9;"Nezávislá iniciativa (NEI)";"Nezávislá iniciativa (NEI)";"Nezávislá iniciativa (NEI)";"NEI";1;"009";"NEI";"S"
11;"Sdružení pro republiku-Republikánská strana Československa";"Sdružení pro republiku-Republikán.strana Českosl.";"Sdruž.pro rep.-Republ.str.Čsl.";"SPR-RSČ";1;"011";"SPR-RSČ";"S"
12;"Romská občanská iniciativa ČR";"Romská občanská iniciativa ČR";"Romská občanská iniciativa ČR";"ROI ČR";1;"012";"ROI ČR";"S"
13;"Občanská demokratická aliance";"Občanská demokratická aliance";"Občanská demokratická aliance";"ODA";1;"013";"";"S"
14;"Republikánská unie";"Republikánská unie";"Republikánská unie";"RU";1;"014";"";"S"
20;"Strana za životní jistoty";"Strana za životní jistoty";"Strana za životní jistoty";"SŽJ";1;"020";"";"S"
21;"Republikánská strana zemědělského a malorolnického lidu";"Republikán.str.zemědělského a malorolnického lidu";"Rep.str.zeměd.a maloroln.lidu";"RSZML";1;"021";"RSZML";"S"
22;"Agrární strana";"Agrární strana";"Agrární strana";"AS";1;"022";"";"S"
24;"Konzervativní strana";"Konzervativní strana";"Konzervativní strana";"KONS";1;"024";"KONS";"S"
25;"Celostátní aktiv občanů";"Celostátní aktiv občanů";"Celostátní aktiv občanů";"CAO";1;"025";"";"S"
28;"Demokratická strana Československa";"Demokratická strana Československa";"Demokratická strana Českoslov.";"DSČ";1;"028";"";"S"
29;"Strana svobodných demokratů";"Strana svobodných demokratů";"Strana svobodných demokratů";"SSD";1;"029";"SSD";"S"
32;"Českomoravská unie středu";"Českomoravská unie středu";"Českomoravská unie středu";"ČMUS";1;"032";"";"S"
34;"Strana moravského venkova";"Strana moravského venkova";"Strana moravského venkova";"SMV";1;"034";"";"S"
39;"Levá alternativa - hnutí za demokratický a samosprávný socialismus";"Levá alternativa-hnutí za demokrat.a samospr.soc.";"Levá alternativa";"LA";1;"039";"";"S"
40;"Klub angažovaných nestraníků";"Klub angažovaných nestraníků";"Klub angažovaných nestraníků";"KAN";1;"040";"KAN";"S"
41;"Asociace Radikálů za Spojené státy evropské";"Asociace Radikálů za Spojené státy evropské";"Asociace Radik.za Sp.st.evrop.";"AR";1;"041";"";"S"
42;"Panevropská unie Čech a Moravy";"Panevropská unie Čech a Moravy";"Panevropská unie Čech a Moravy";"PEUČM";1;"042";"";"S"
43;"Pravá alternativa";"Pravá alternativa";"Pravá alternativa";"PA";1;"043";"";"S"
44;"Národně sociální strana - Československá strana národně socialistická";"Národně sociální str.-Českosl.strana nár.social.";"Národ.soc.str.-Čs.str.nár.soc.";"NSS-ČSNS";1;"044";"";"S"
45;"Strana drobných podnikatelů";"Strana drobných podnikatelů";"Strana drobných podnikatelů";"SDP";1;"045";"";"S"
46;"Moravská národní strana";"Moravská národní strana";"Moravská národní strana";"MNS";1;"046";"";"S"
47;"Komunistická strana Čech a Moravy";"Komunistická strana Čech a Moravy";"Komunistická str.Čech a Moravy";"KSČM";1;"047";"KSČM";"S"
48;"Hnutí 90";"Hnutí 90";"Hnutí 90";"H 90";1;"048";"";"S"
49;"Hnutí angažovaných Romů";"Hnutí angažovaných Romů";"Hnutí angažovaných Romů";"HAR";1;"049";"";"S"
51;"Národně demokratická strana";"Národně demokratická strana";"Národně demokratická strana";"NDS";1;"051";"NDS";"S"
53;"Občanská demokratická strana";"Občanská demokratická strana";"Občanská demokratická strana";"ODS";1;"053";"ODS";"S"
55;"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)";"Koruna Česká (monarch.str.Čech, Moravy a Slezska)";"Koruna Česká (monarch.strana)";"KČ";1;"055";"KČ";"S"
58;"Česká národní strana";"Česká národní strana";"Česká národní strana";"ČNS";1;"058";"";"S"
59;"Strana zdravotně postižených, důchodců a sociálně slabých občanů";"Str.zdrav.postiž.,důchodců a sociálně slab.občanů";"Str.zdrav.postiž.,důch.,slab.";"SZP-DO";1;"059";"";"S"
60;"Hnutí za sociální spravedlnost";"Hnutí za sociální spravedlnost";"Hnutí za sociální spravedlnost";"HSS";1;"060";"";"S"
63;"Republikáni";"Republikáni";"Republikáni";"REP";1;"063";"";"S"
64;"Strana podnikatelů, živnostníků a rolníků České republiky";"Strana podnikatelů, živnostníků a rolníků ČR";"Str.podnikat.,živnost.,rolníků";"SPŽR";1;"064";"";"S"
65;"Demokraté 92";"Demokraté 92";"Demokraté 92";"D 92";1;"065";"";"S"
67;"Romský národní kongres";"Romský národní kongres";"Romský národní kongres";"RNK";1;"067";"";"S"
68;"Masarykova demokratická strana";"Masarykova demokratická strana";"Masarykova demokratická strana";"MDS";1;"068";"MDS";"S"
72;"COEXISTENTIA";"COEXISTENTIA";"COEXISTENTIA";"COEX";1;"072";"COEX";"S"
74;"Strana demokratického socialismu";"Strana demokratického socialismu";"Strana demokrat.socialismu";"SDS";1;"074";"SDS";"S"
76;"Československá strana socialistická";"Československá strana socialistická";"Českosl.strana socialistická";"ČSS";1;"076";"ČSS";"S"
77;"Česká pravice";"Česká pravice";"Česká pravice";"ČP";1;"077";"ČP";"S"
78;"Východoevropské národnostní politické hnutí v ČR";"Východoevropské národnostní politické hnutí v ČR";"Východoevr.národnost.pol.hnutí";"VENPH";1;"078";"";"S"
79;"Národní demokracie";"Národní demokracie";"Národní demokracie";"ND";1;"079";"ND";"S"
80;"Nezávislí kandidáti";"Nezávislí kandidáti";"Nezávislí kandidáti";"NK";1;"080";"nezávislí kandidáti";"N"
81;"Demokratická unie";"Demokratická unie";"Demokratická unie";"DEU";1;"081";"";"S"
82;"Moravská demokratická strana";"Moravská demokratická strana";"Moravská demokratická strana";"MoDS";1;"082";"";"S"
83;"Moravané";"Moravané";"Moravané";"Moravané";1;"083";"Moravané";"S"
84;"Hnutí za samosprávnou demokracii - Společnost pro Moravu a Slezsko";"Hnutí za samospr.dem.-Společn.pro Moravu a Slezsko";"Hn.za samospr.dem.-Sp.Mor.a Sl";"HSD-SMS";1;"084";"";"S"
85;"Pražané Praze";"Pražané Praze";"Pražané Praze";"PP";1;"085";"";"S"
86;"Iniciativa občanů";"Iniciativa občanů";"Iniciativa občanů";"IO";1;"086";"IO";"S"
88;"NEZÁVISLÍ";"NEZÁVISLÍ";"NEZÁVISLÍ";"NEZ";1;"088";"NEZ";"S"
90;"Sdružení nezávislých kandidátů - místní sdružení celkem";"Sdruž.nezávislých kandidátů-místní sdružení celkem";"Sdruž.nezáv.kand.-míst.celkem";"SNK-CELK";1;"080";"SNK-CELK";"M"
91;"Sdružení nezávislých kandidátů města České Budějovice";"Sdružení nezávislých kandidátů města Č.Budějovice";"Sdruž.nezáv.kand.města Č.Buděj";"SNK ČB";1;"091";"";"S"
92;"Živnostenská strana";"Živnostenská strana";"Živnostenská strana";"ŽS";1;"092";"";"S"
93;"Komunistická strana Československa";"Komunistická strana Československa";"Komunistická str.Českosloven.";"KSČ";1;"093";"KSČ";"S"
94;"Česká volba";"Česká volba";"Česká volba";"ČV";1;"094";"";"S"
95;"Mladí demokraté";"Mladí demokraté";"Mladí demokraté";"MD";1;"095";"";"S"
96;"Hnutí proti kriminalitě";"Hnutí proti kriminalitě";"Hnutí proti kriminalitě";"HPK";1;"096";"";"S"
98;"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"Volte Pravý Blok www.cibulka.net";"S"
99;"Bez politické příslušnosti";"Bez politické příslušnosti";"Bez politické příslušnosti";"BEZPP";1;"099";"bez politické příslušnosti";"S"
100;"Humanistická strana";"Humanistická strana";"Humanistická strana";"HS";1;"100";"HS";"S"
101;"Strana venkova - spojené občanské síly";"Strana venkova - spojené občanské síly";"Str.venkova-spoj.občan.síly";"SV SOS";1;"101";"SV SOS";"S"
102;"Unie svobody - Demokratická unie";"Unie svobody - Demokratická unie";"Unie svobody-Demokratická unie";"US-DEU";1;"102";"US-DEU";"S"
103;"Strana pro otevřenou společnost";"Strana pro otevřenou společnost";"Str.pro otevřenou společnost";"SOS";1;"103";"SOS";"S"
104;"Občanská koalice - Politický klub";"Občanská koalice - Politický klub";"Občanská koalice-Polit.klub";"OK";1;"104";"";"S"
105;"Strana konzervativní smlouvy";"Strana konzervativní smlouvy";"Strana konzervativní smlouvy";"SKS";1;"105";"";"S"
106;"Alternativa 2000";"Alternativa 2000";"Alternativa 2000";"A2000";1;"106";"";"S"
107;"Demokratická liga";"Demokratická liga";"Demokratická liga";"DL";1;"107";"";"S"
108;"Hnutí za prosperitu Brna";"Hnutí za prosperitu Brna";"Hnutí za prosperitu Brna";"HPB";1;"108";"";"S"
109;"Zlínské hnutí nezávislých";"Zlínské hnutí nezávislých";"Zlínské hnutí nezávislých";"ZHN";1;"109";"ZHN";"S"
110;"Demokratická regionální strana";"Demokratická regionální strana";"Demokratická regionální strana";"DRS";1;"110";"DRS";"S"
111;"Pravá volba pro Plzeň";"Pravá volba pro Plzeň";"Pravá volba pro Plzeň";"PVP";1;"111";"PVP";"S"
112;"HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST";"HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST";"HN.ZA HARM.ROZVOJ OBCÍ A MĚST";"HNHRM";1;"112";"HNHRM";"S"
113;"Volba pro město";"Volba pro město";"Volba pro město";"VPM";1;"113";"VPM";"S"
114;"Hnutí pro Havířov";"Hnutí pro Havířov";"Hnutí pro Havířov";"HPH";1;"114";"HPH";"S"
115;"Nezávislé sdružení občanů Blanska";"Nezávislé sdružení občanů Blanska";"Nezáv.sdruž.občanů Blanska";"NSOB";1;"115";"NSOB";"S"
116;"Občanská liga FORUM";"Občanská liga FORUM";"Občanská liga FORUM";"OLF";1;"116";"";"S"
117;""1.Sdružení nezávislých kandidátů Tábor"";""1.Sdružení nezávislých kandidátů Tábor"";""1.Sdr.nezáv.kandidátů Tábor"";"1.SNK";1;"117";"";"S"
118;"Sdružení pro sport a zdraví";"Sdružení pro sport a zdraví";"Sdružení pro sport a zdraví";"SSZ";1;"118";"";"S"
119;"Unie pro sport a zdraví";"Unie pro sport a zdraví";"Unie pro sport a zdraví";"USZ";1;"119";"USZ";"S"
120;"Aliance nezávislých občanů";"Aliance nezávislých občanů";"Aliance nezávislých občanů";"ANO";1;"120";"";"S"
121;"NÁRODNÍ PROSPERITA";"NÁRODNÍ PROSPERITA";"NÁRODNÍ PROSPERITA";"NP";1;"121";"NP";"S"
122;"Českobudějovická nezávislá nová volba";"Českobudějovická nezávislá nová volba";"Českobudějov.nezáv.nová volba";"ČbNNV";1;"122";"";"S"
123;"České hnutí za národní jednotu";"České hnutí za národní jednotu";"České hnutí za národní jednotu";"ČHNJ";1;"123";"ČHNJ";"S"
124;"Nové hnutí";"Nové hnutí";"Nové hnutí";"NH";1;"124";"";"S"
125;"Unie pro Evropu";"Unie pro Evropu";"Unie pro Evropu";"UPE";1;"125";"";"S"
126;"Nestraníci pro Moravu";"Nestraníci pro Moravu";"Nestraníci pro Moravu";"NPM";1;"126";"";"S"
127;"Republikáni Miroslava Sládka";"Republikáni Miroslava Sládka";"Republikáni Miroslava Sládka";"RMS";1;"127";"";"S"
128;""Akce za skutečnou demokracii"";""Akce za skutečnou demokracii"";""Akce za skutečnou demokracii"";"AZSD";1;"128";"";"S"
129;"SNK Evropští demokraté";"SNK Evropští demokraté";"SNK Evropští demokraté";"SNK ED";1;"129";"SNK ED";"S"
130;"Strana svobodných severu";"Strana svobodných severu";"Strana svobodných severu";"SSS";1;"130";"";"S"
131;"Strana občanského porozumění";"Strana občanského porozumění";"Strana občanského porozumění";"SOP";1;"131";"";"S"
132;"Aktiv nezávislých občanů";"Aktiv nezávislých občanů";"Aktiv nezávislých občanů";"ANEO";1;"132";"ANEO";"S"
133;"Cesta změny";"Cesta změny";"Cesta změny";"CZ";1;"133";"";"S"
134;""Sebeobrana voličů-Váš hlas nepodpoří financování planých řečí, ale zdravotnictví Vašeho obvodu"";""Sebeobrana voličů-Váš hlas pro zdravotnictví"";""Sebeobrana voličů-Váš hlas"";"SeVo";1;"134";"";"S"
135;"Naděje";"Naděje";"Naděje";"N";1;"135";"";"S"
136;"Tábor 2020";"Tábor 2020";"Tábor 2020";"T2020";1;"136";"T2020";"S"
137;"ROZUMNÍ - stop migraci a diktátu EU - peníze našim občanům, důchodcům, dětem, zdravotně postiženým...";"ROZUMNÍ - stop migraci a diktátu EU-peníze občanům";"ROZUMNÍ-stop migraci,diktát.EU";"Rozumní";1;"137";"Rozumní";"S"
138;"Liberálové.CZ";"Liberálové.CZ";"Liberálové.CZ";"LIB";1;"138";"LIB";"S"
139;"Volba pro budoucnost";"Volba pro budoucnost";"Volba pro budoucnost";"VPB";1;"139";"";"S"
140;"Balbínova poetická strana";"Balbínova poetická strana";"Balbínova poetická strana";"BPS";1;"140";"BPS";"S"
141;"Konzervativní a sociální hnutí";"Konzervativní a sociální hnutí";"Konzervativní a sociální hnutí";"KSH";1;"141";"KSH";"S"
142;"Strana Starostové za Ústecký kraj";"Strana Starostové za Ústecký kraj";"Str.Starostové za Ústecký kraj";"Starost. za ÚK";1;"142";"Starostové za ÚK";"S"
143;"Spojení demokraté - Sdružení nezávislých";"Spojení demokraté - Sdružení nezávislých";"Spojení demokraté-Sdruž.nezáv.";"SD-SN";1;"143";"SD-SN";"S"
144;"Věci veřejné";"Věci veřejné";"Věci veřejné";"VV";1;"144";"VV";"S"
145;""Jirkov 21.století"";""Jirkov 21.století"";""Jirkov 21.století"";"J 21 S";1;"145";"J 21 S";"S"
146;"Nezávislí pro Prahu";"Nezávislí pro Prahu";"Nezávislí pro Prahu";"NPP";1;"146";"NPP";"S"
147;"MĚSTO LIDEM";"MĚSTO LIDEM";"MĚSTO LIDEM";"ML";1;"147";"ML";"S"
148;""SONOB - sdružení ochrany nájemníků a ostatního bydlení"";""SONOB-sdružení ochrany nájemníků a ostat.bydlení"";""SONOB-sdruž.ochr.nájemníků"";"SONOB";1;"148";"SONOB";"S"
149;"Sociálně demokratická aliance nezávislých";"Sociálně demokratická aliance nezávislých";"Sociálně demokrat.aliance nez.";"SDAN";1;"149";"";"S"
150;"Sdružení za lepší Vrchlabí";"Sdružení za lepší Vrchlabí";"Sdružení za lepší Vrchlabí";"SZLV";1;"150";"";"S"
151;"Helax-Ostrava se baví";"Helax-Ostrava se baví";"Helax-Ostrava se baví";"HOB";1;"151";"";"S"
152;"Národní strana";"Národní strana";"Národní strana";"NS";1;"152";"NS";"S"
153;"Dělnická strana";"Dělnická strana";"Dělnická strana";"DS";1;"153";"DS";"S"
154;"Všeobecná občanská strana";"Všeobecná občanská strana";"Všeobecná občanská strana";"VOS";1;"154";"VOS";"S"
155;"Blok proti islamizaci - Obrana domova";"Blok proti islamizaci - Obrana domova";"Blok proti islam.-Obran.domova";"BPI";1;"155";"BPI";"S"
156;"Dělnická strana sociální spravedlnosti";"Dělnická strana sociální spravedlnosti";"Dělnic.str.sociální spravedl.";"DSSS";1;"156";"DSSS";"S"
157;"Demokratická Unie České republiky";"Demokratická Unie České republiky";"Demokratická Unie České rep.";"DEUČR";1;"157";"";"S"
158;"Starostové a osobnosti pro Moravu";"Starostové a osobnosti pro Moravu";"Starostové a osobn. pro Moravu";"SOM";1;"158";"SOM";"S"
159;"Strana státu přímé demokracie - Strana práce";"Strana státu přímé demokracie - Strana práce";"Str.státu přímé dem.-Str.práce";"SSPD-SP";1;"159";"SSPD-SP";"S"
160;""Viktor Kožený - Občanská federální demokracie"";""Viktor Kožený - Občanská federální demokracie"";""V.Kožený-Občan.feder.demokr."";""OFD"";1;"160";""OFD"";"S"
161;"Svobodná občanská samospráva";"Svobodná občanská samospráva";"Svobodná občanská samospráva";"SvOS";1;"161";"SvOS";"S"
162;"Správný směr";"Správný směr";"Správný směr";"SPS";1;"162";"";"S"
163;"NEZÁVISLÁ VOLBA";"NEZÁVISLÁ VOLBA";"NEZÁVISLÁ VOLBA";"NV";1;"163";"NV";"S"
164;"Evropská strana důstojného stáří";"Evropská strana důstojného stáří";"Evropská str.důstojného stáří";"ESDS";1;"164";"ESDS";"S"
165;"Strana drobných živnostníků a podnikatelů";"Strana drobných živnostníků a podnikatelů";"Str.drobn.živnost.a podnikat.";"SDŽP";1;"165";"";"S"
166;"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAN";1;"166";"STAN";"S"
167;"Fair play - HNPD";"Fair play - HNPD";"Fair play - HNPD";"HNPD";1;"167";"HNPD";"S"
168;"Občanské demokratické hnutí";"Občanské demokratické hnutí";"Občanské demokratické hnutí";"ODH";1;"168";"";"S"
169;"Folklor i Společnost";"Folklor i Společnost";"Folklor i Společnost";"FiS";1;"169";"FiS";"S"
170;"Romská demokratická sociální strana";"Romská demokratická sociální strana";"Romská demokrat.sociální str.";"RDSS";1;"170";"";"S"
171;"STRANA ROVNOST ŠANCÍ";"STRANA ROVNOST ŠANCÍ";"STRANA ROVNOST ŠANCÍ";"SRŠ";1;"171";"";"S"
172;"NEZÁVISLÍ DEMOKRATÉ";"NEZÁVISLÍ DEMOKRATÉ";"NEZÁVISLÍ DEMOKRATÉ";"NEZ/DEM";1;"172";"NEZ/DEM";"S"
173;"Chci svou šanci";"Chci svou šanci";"Chci svou šanci";"CISN";1;"173";"";"S"
174;"Hnutí pro Těšín";"Hnutí pro Těšín";"Hnutí pro Těšín";"HpT";1;"174";"HpT";"S"
175;"Česká strana národně socialistická";"Česká strana národně socialistická";"Česká str.národ.socialistická";"ČSNS2005";1;"175";"ČSNS2005";"S"
176;"Strana občanské sebeobrany";"Strana občanské sebeobrany";"Strana občanské sebeobrany";"S.O.S. PRAHA";1;"176";"S.O.S. PRAHA";"S"
177;"Zelení";"Zelení";"Zelení";""Z"";1;"177";""Z"";"S"
178;"4 VIZE - www.4vize.cz";"4 VIZE - www.4vize.cz";"4 vize - www.4vize.cz";"4 VIZE";1;"178";"4 VIZE";"S"
179;"Sedma - strana pro Slatiňany, Škrovád, Trpišov, Kunčí, Presy, Podhůru a Kochánovice";"Sedma-strana pro obec Slatiňany a její osady";"Sedma-str.pro obec Slatiňany";"Sedma";1;"179";"Sedma";"S"
180;"Klub sociálně demokratické orientace";"Klub sociálně demokratické orientace";"Klub sociál.demokrat.orientace";"KSDO";1;"180";"";"S"
181;"Nestraníci";"Nestraníci";"Nestraníci";"Nestran.";1;"181";"NK";"S"
182;"Karlovarská občanská alternativa";"Karlovarská občanská alternativa";"Karlovar.občanská alternativa";"KOA";1;"182";"KOA";"S"
183;"Alternativa pro občany";"Alternativa pro občany";"Alternativa pro občany";"AO";1;"183";"AO";"S"
184;"Hnutí LEPŠÍ ŘEPY";"Hnutí LEPŠÍ ŘEPY";"Hnutí LEPŠÍ ŘEPY";"HLŘ";1;"184";"HLŘ";"S"
185;"Patrioti - hnutí za lepší Ústí n.L.";"Patrioti - Hnutí za lepší Ústí n.L.";"Patrioti-Hn.za lepší Ústí n.L.";"P-HLÚ";1;"185";"";"S"
186;"Hnutí za lepší bydlení";"Hnutí za lepší bydlení";"Hnutí za lepší bydlení";"HZLB";1;"186";"";"S"
187;"Občansko demokratické sdružení Zlín";"Občansko demokratické sdružení Zlín";"Občansko demokr.sdružení Zlín";"ODSZ";1;"187";"";"S"
188;"SEMILÁCI";"SEMILÁCI";"SEMILÁCI";"PSS";1;"188";"PSS";"S"
189;"Zlínské sdružení živnostníků a podnikatelů";"Zlínské sdružení živnostníků a podnikatelů";"Zlín.sdruž.živnost.a podnikat.";"ZSŽP";1;"189";"";"S"
190;"Mimoňská obroda";"Mimoňská obroda";"Mimoňská obroda";"OHMO";1;"190";"OHMO";"S"
191;"MĚSTO I MLÁDEŽI";"MĚSTO I MLÁDEŽI";"MĚSTO I MLÁDEŽI";"MIM";1;"191";"";"S"
192;"HLAVU VZHŮRU - volební blok";"HLAVU VZHŮRU - volební blok";"HLAVU VZHŮRU - volební blok";"HLAVU VZHŮRU";1;"192";"HLAVU VZHŮRU";"S"
193;"Volba pro Mladou Boleslav";"Volba pro Mladou Boleslav";"Volba pro Mladou Boleslav";"VpMB";1;"193";"VpMB";"S"
194;"ZVON";"ZVON";"ZVON";"PHZ";1;"194";"PHZ";"S"
195;"Hnutí pro Prahu 11";"Hnutí pro Prahu 11";"Hnutí pro Prahu 11";"HPP 11";1;"195";"HpP";"S"
196;"Strana Svobody";"Strana Svobody";"Strana Svobody";"Str.Svob";1;"196";"";"S"
197;"NESPOKOJENÍ OBČANÉ!";"NESPOKOJENÍ OBČANÉ!";"NESPOKOJENÍ OBČANÉ!";"NO!";1;"197";"NO!";"S"
198;"Republikánská strana Čech, Moravy a Slezska";"Republikánská strana Čech, Moravy a Slezska";"Republ.str.Čech,Moravy a Slez.";"RSČMS";1;"198";"RSČMS";"S"
199;"Klíčové hnutí";"Klíčové hnutí";"Klíčové hnutí";"KH";1;"199";"KH";"S"
200;"Demokracie";"Demokracie";"Demokracie";"DK";1;"200";"DK";"S"
201;"Koalice KDU-ČSL, ČSNS";"Koalice KDU-ČSL, ČSNS";"Koalice KDU-ČSL, ČSNS";"";2;"001,002";"";"K"
202;"Koalice KDU-ČSL, ČSNS, US-DEU";"Koalice KDU-ČSL, ČSNS, US-DEU";"Koalice KDU-ČSL, ČSNS, US-DEU";"";3;"001,002,102";"";"K"
203;"Koalice KDU-ČSL, SZ, DEU";"Koalice KDU-ČSL, SZ, DEU";"Koalice KDU-ČSL, SZ, DEU";"";3;"001,005,081";"";"K"
204;"Koalice KDU-ČSL, SZ, NEZ";"Koalice KDU-ČSL, SZ, NEZ";"Koalice KDU-ČSL, SZ, NEZ";"";3;"001,005,088";"";"K"
