VSTRANA;NAZEVCELK;NAZEV_STRV;ZKRATKAV30;ZKRATKAV8;POCSTR_SLO;SLOZENI;ZKRATKA_OF;TYPVS
205;"Koalice KDU-ČSL, ODA";"Koalice KDU-ČSL, ODA";"Koalice KDU-ČSL, ODA";"";2;"001,013";"";"K"
206;"Koalice KDU-ČSL, ODA, ODS, US-DEU";"Koalice KDU-ČSL, ODA, ODS, US-DEU";"Koalice KDU-ČSL,ODA,ODS,US-DEU";"";4;"001,013,053,102";"";"K"
207;"Koalice KDU-ČSL, ODA, DEU";"Koalice KDU-ČSL, ODA, DEU";"Koalice KDU-ČSL, ODA, DEU";"";3;"001,013,081";"";"K"
208;"Čtyřkoalice";"Čtyřkoalice";"Čtyřkoalice";"4KOALICE";4;"001,013,081,102";"";"K"
209;"Koalice KDU-ČSL, KSČM";"Koalice KDU-ČSL, KSČM";"Koalice KDU-ČSL, KSČM";"";2;"001,047";"";"K"
210;"Koalice KDU-ČSL, ODS";"Koalice KDU-ČSL, ODS";"Koalice KDU-ČSL, ODS";"KDU-ČSL+ODS";2;"001,053";"";"K"
211;"Koalice KDU-ČSL, ODS, US-DEU";"Koalice KDU-ČSL, ODS, US-DEU";"Koalice KDU-ČSL, ODS, US-DEU";"";3;"001,053,102";"";"K"
212;"Koalice KDU-ČSL, DEU";"Koalice KDU-ČSL, DEU";"Koalice KDU-ČSL, DEU";"";2;"001,081";"";"K"
213;"Koalice KDU-ČSL, DEU, US";"Koalice KDU-ČSL, DEU, US";"Koalice KDU-ČSL, DEU, US";"";3;"001,081,102";"";"K"
215;"Koalice KDU-ČSL, NEZ";"Koalice KDU-ČSL, NEZ";"Koalice KDU-ČSL, NEZ";"";2;"001,088";"";"K"
216;"Koalice KDU-ČSL, US-DEU";"Koalice KDU-ČSL, US-DEU";"Koalice KDU-ČSL, US-DEU";"";2;"001,102";"";"K"
217;"Koalice KDU-ČSL, SOS";"Koalice KDU-ČSL, SOS";"Koalice KDU-ČSL, SOS";"";2;"001,103";"";"K"
218;"Koalice KDU-ČSL, SKS";"Koalice KDU-ČSL, SKS";"Koalice KDU-ČSL, SKS";"";2;"001,105";"";"K"
219;"Koalice ČSNS, SZ, KAN, NEZ";"Koalice ČSNS, SZ, KAN, NEZ";"Koalice ČSNS, SZ, KAN, NEZ";"";4;"002,005,040,088";"";"K"
220;"Koalice ČSNS, SZ, DEU";"Koalice ČSNS, SZ, DEU";"Koalice ČSNS, SZ, DEU";"";3;"002,005,081";"";"K"
221;"Koalice ČSNS, ČSSD";"Koalice ČSNS, ČSSD";"Koalice ČSNS, ČSSD";"";2;"002,007";"";"K"
222;"Koalice ČSNS, ODA";"Koalice ČSNS, ODA";"Koalice ČSNS, ODA";"";2;"002,013";"";"K"
223;"Koalice ČSNS, SŽJ";"Koalice ČSNS, SŽJ";"Koalice ČSNS, SŽJ";"";2;"002,020";"";"K"
224;"Koalice ČSNS, ODS";"Koalice ČSNS, ODS";"Koalice ČSNS, ODS";"";2;"002,053";"";"K"
225;"Koalice ČSNS, DEU";"Koalice ČSNS, DEU";"Koalice ČSNS, DEU";"";2;"002,081";"";"K"
226;"Koalice ČSNS, US-DEU";"Koalice ČSNS, US-DEU";"Koalice ČSNS, US-DEU";"";2;"002,102";"";"K"
227;"Koalice SZ, ČSSD";"Koalice SZ, ČSSD";"Koalice SZ, ČSSD";"SZ+ČSSD";2;"005,007";"";"K"
228;"Koalice SZ, ODA";"Koalice SZ, ODA";"Koalice SZ, ODA";"";2;"005,013";"";"K"
229;"Koalice SZ, KAN, NEZ";"Koalice SZ, KAN, NEZ";"Koalice SZ, KAN, NEZ";"";3;"005,040,088";"";"K"
230;"Koalice ČSSD, SŽJ";"Koalice ČSSD, SŽJ";"Koalice ČSSD, SŽJ";"";2;"007,020";"";"K"
231;"Koalice ČSSD, KSČM";"Koalice ČSSD, KSČM";"Koalice ČSSD, KSČM";"";2;"007,047";"";"K"
232;"Koalice ČSSD, ODS";"Koalice ČSSD, ODS";"Koalice ČSSD, ODS";"";2;"007,053";"";"K"
233;"Koalice ČSSD, SDS";"Koalice ČSSD, SDS";"Koalice ČSSD, SDS";"";2;"007,074";"";"K"
234;"Koalice ČSSD, Moravané";"Koalice ČSSD, Moravané";"Koalice ČSSD, Moravané";"";2;"007,083";"";"K"
235;"Koalice ČSSD, SV SOS";"Koalice ČSSD, SV SOS";"Koalice ČSSD, SV SOS";"";2;"007,101";"";"K"
236;"Koalice SPR-RSČ, ND";"Koalice SPR-RSČ, ND";"Koalice SPR-RSČ, ND";"";2;"011,079";"";"K"
237;"Koalice SPR-RSČ, ND, MoDS";"Koalice SPR-RSČ, ND, MoDS";"Koalice SPR-RSČ, ND, MoDS";"";3;"011,079,082";"";"K"
238;"Koalice ODA, KAN, DEU";"Koalice ODA, KAN, DEU";"Koalice ODA, KAN, DEU";"";3;"013,040,081";"";"K"
239;"Koalice ODA, KAN, DEU, US";"Koalice ODA, KAN, DEU, US";"Koalice ODA, KAN, DEU, US";"";4;"013,040,081,102";"";"K"
240;"Koalice ODA, ODS";"Koalice ODA, ODS";"Koalice ODA, ODS";"";2;"013,053";"";"K"
241;"Koalice ODA, ODS, DEU";"Koalice ODA, ODS, DEU";"Koalice ODA, ODS, DEU";"";3;"013,053,081";"";"K"
242;"Koalice ODA, DEU";"Koalice ODA, DEU";"Koalice ODA, DEU";"";2;"013,081";"";"K"
243;"Koalice ODA, NEZ";"Koalice ODA, NEZ";"Koalice ODA, NEZ";"";2;"013,088";"";"K"
244;"Koalice ODA, US-DEU";"Koalice ODA, US-DEU";"Koalice ODA, US-DEU";"";2;"013,102";"";"K"
245;"Koalice ODA, SOS";"Koalice ODA, SOS";"Koalice ODA, SOS";"";2;"013,103";"";"K"
246;"Koalice SŽJ, CAO";"Koalice SŽJ, CAO";"Koalice SŽJ, CAO";"";2;"020,025";"";"K"
247;"Koalice SŽJ, SDS";"Koalice SŽJ, SDS";"Koalice SŽJ, SDS";"";2;"020,074";"";"K"
248;"Koalice KAN, DEU";"Koalice KAN, DEU";"Koalice KAN, DEU";"";2;"040,081";"";"K"
249;"Koalice KAN, DEU, US";"Koalice KAN, DEU, US";"Koalice KAN, DEU, US";"";3;"040,081,102";"";"K"
250;"Koalice PA, PB, SKS";"Koalice PA, PB, SKS";"Koalice PA, PB, SKS";"";3;"043,098,105";"";"K"
251;"Koalice KSČM, SDS";"Koalice KSČM, SDS";"Koalice KSČM, SDS";"";2;"047,074";"";"K"
252;"Koalice ODS, DEU";"Koalice ODS, DEU";"Koalice ODS, DEU";"";2;"053,081";"";"K"
253;"Koalice ODS, US-DEU";"Koalice ODS, US-DEU";"Koalice ODS, US-DEU";"";2;"053,102";"";"K"
254;"Koalice DEU, MoDS";"Koalice DEU, MoDS";"Koalice DEU, MoDS";"";2;"081,082";"";"K"
255;"Koalice DEU, US";"Koalice DEU, US";"Koalice DEU, US";"";2;"081,102";"";"K"
256;"MORAVSKÁ KOALICE";"MORAVSKÁ KOALICE";"MORAVSKÁ KOALICE";"MORKOAL";2;"082,083";"";"K"
257;"Koalice NEZ, US-DEU";"Koalice NEZ, US-DEU";"Koalice NEZ, US-DEU";"";2;"088,102";"";"K"
259;"Koalice České strany národně sociální a politického hnutí NEZÁVISLÍ";"Koal.České str.národ.sociální a pol.hn.NEZÁVISLÍ";"K.Čes.str.nár.soc. a NEZÁVISLÍ";"ČSNS-NEZ";2;"002,088";"";"K"
260;"Strana za životní jistoty a Strana zelených";"Strana za životní jistoty a Strana zelených";"Str.za živ.jist.,Str.zelených";"SŽJ-SZ";2;"005,020";"";"K"
261;"Koalice Pravý blok - Klub angažovaných nestraníků";"Koalice Pravý blok - Klub angažovaných nestraníků";"K.Pravý blok-Klub angaž.nestr.";"PB-KAN";2;"040,098";"";"K"
267;"ŠANCE PRO OLOMOUCKÝ KRAJ";"ŠANCE PRO OLOMOUCKÝ KRAJ";"ŠANCE PRO OLOMOUCKÝ KRAJ";"ŠANCEOK";3;"040,105,113";"";"K"
268;"Koalice politických stran Volba pro město a Strana pro otevřenou společnost";"Koalice VPM, SOS";"Koalice VPM, SOS";"VPM+SOS";2;"103,113";"";"K"
269;"Koalice Unie pro Evropu a Strany zelených";"Koalice Unie pro Evropu a Strany zelených";"Unie pro Evropu,Str.zelených";"UPE-SZ";2;"005,125";"";"K"
273;"Pražané Praze - Praha Pražanům";"Pražané Praze - Praha Pražanům";"Pražané Praze-Praha Pražanům";"";2;"128,134";"";"K"
274;"Koalice SD-SN, ODA";"Koalice SD-SN, ODA";"Koalice SD-SN, ODA";"SD-SN, ODA";2;"013,143";"";"K"
275;"Koalice KDU-ČSL, US-DEU, VPM";"Koalice KDU-ČSL, US-DEU, VPM";"Koalice KDU-ČSL, US-DEU, VPM";"";3;"001,102,113";"";"K"
276;"Koalice SŽJ, VPM";"Koalice SŽJ, VPM";"Koalice SŽJ, VPM";"";2;"020,113";"";"K"
277;"Koalice MoDS, Moravané, SŽJ";"Koalice MoDS, Moravané, SŽJ";"Koalice MoDS, Moravané, SŽJ";"";3;"020,082,083";"";"K"
278;"Koalice SNK ED, VPM";"Koalice SNK ED, VPM";"Koalice SNK ED, VPM";"";2;"113,129";"";"K"
279;"Koalice KDU-ČSL, ČSSD";"Koalice KDU-ČSL, ČSSD";"Koalice KDU-ČSL, ČSSD";"";2;"001,007";"";"K"
280;"Koalice KDU-ČSL, SNK ED";"Koalice KDU-ČSL, SNK ED";"Koalice KDU-ČSL, SNK ED";"KDU-ČSL, SNK ED";2;"001,129";"";"K"
281;"Koalice KDU-ČSL, ODA, US-DEU";"Koalice KDU-ČSL, ODA, US-DEU";"Koalice KDU-ČSL, ODA, US-DEU";"";3;"001,013,102";"";"K"
282;"Koalice US-DEU, SNK ED";"Koalice US-DEU, SNK ED";"Koalice US-DEU, SNK ED";"";2;"102,129";"";"K"
283;"Koalice ČSNS, SOS, VPM";"Koalice ČSNS, SOS, VPM";"Koalice ČSNS, SOS, VPM";"";3;"002,103,113";"";"K"
285;"Koalice SZ, SNK ED";"Koalice SZ, SNK ED";"Koalice SZ, SNK ED";"SZ+SNK ED";2;"005,129";"";"K"
286;"Koalice ČSSD, US-DEU";"Koalice ČSSD, US-DEU";"Koalice ČSSD, US-DEU";"";2;"007,102";"";"K"
287;"Koalice RMS, SŽJ";"Koalice RMS, SŽJ";"Koalice RMS, SŽJ";"";2;"020,127";"";"K"
288;"Koalice SNK ED, N";"Koalice SNK ED, N";"Koalice SNK ED, N";"";2;"129,135";"";"K"
290;"Koalice ODA, CZ";"Koalice ODA, CZ";"Koalice ODA, CZ";"";2;"013,133";"";"K"
291;"Koalice RMS, ND, SPR-RSČ";"Koalice RMS, ND, SPR-RSČ";"Koalice RMS, ND, SPR-RSČ";"";3;"011,079,127";"";"K"
292;"Koalice SOS, SZ";"Koalice SZ, SOS";"Koalice SZ, SOS";"";2;"005,103";"";"K"
293;"Koalice PB, Rozumní";"Koalice PB, Rozumní";"Koalice PB, Rozumní";"";2;"098,137";"";"K"
294;"Koalice ODA, SNK ED";"Koalice ODA, SNK ED";"Koalice ODA, SNK ED";"";2;"013,129";"";"K"
295;"Koalice SNK ED, SZ, SOS";"Koalice SNK ED, SZ, SOS";"Koalice SNK ED, SZ, SOS";"";3;"005,103,129";"";"K"
296;"Koalice US-DEU, SZ";"Koalice US-DEU, SZ";"Koalice US-DEU, SZ";"";2;"005,102";"";"K"
298;"Koalice ČSNS, VPM, KAN";"Koalice ČSNS, VPM, KAN";"Koalice ČSNS, VPM, KAN";"";3;"002,040,113";"";"K"
299;"Koalice CZ, COEX, NEZ, ODA";"Koalice CZ, COEX, NEZ, ODA";"Koalice CZ, COEX, NEZ, ODA";"";4;"013,072,088,133";"";"K"
300;"Koalice ČSNS, SV SOS";"Koalice ČSNS, SV SOS";"Koalice ČSNS, SV SOS";"";2;"002,101";"";"K"
301;"Koalice KSČM, SZ";"Koalice KSČM, SZ";"Kolaice KSČM, SZ";"";2;"005,047";"";"K"
303;"Koalice KDU-ČSL, SZ";"Koalice KDU-ČSL, SZ";"Koalice KDU-ČSL, SZ";"KDUČSLSZ";2;"001,005";"";"K"
305;"Koalice SZ, ODA, ČSNS, KAN, CZ, N";"Koalice SZ, ODA, ČSNS, KAN, CZ, N";"Koalice SZ,ODA,ČSNS,KAN,CZ,N";"";6;"002,005,013,040,133,135";"";"K"
306;"Koalice KDU-ČSL, ODS, ČSSD";"Koalice KDU-ČSL, ODS, ČSSD";"Koalice KDU-ČSL, ODS, ČSSD";"";3;"001,007,053";"";"K"
307;"Koalice ODS, SZ";"Koalice ODS, SZ";"Koalice ODS, SZ";"";2;"005,053";"";"K"
309;"Koalice KDU-ČSL, Moravané";"Koalice KDU-ČSL, Moravané";"Koalice KDU-ČSL, Moravané";"";2;"001,083";"";"K"
310;"Národní koalice";"Národní koalice";"Národní koalice";"NARKOAL";2;"002,152";"";"K"
311;"SNK sdružení nezávislých a Evropští demokraté";"SNK sdružení nezávislých a Evropští demokraté";"SNK sdruž.nez. a Evropští dem.";"SNK-ED";2;"129,143";"";"K"
313;"Unie liberálních demokratů";"Unie liberálních demokratů";"Unie liberálních demokratů";"ULD";4;"013,102,133,138";"";"K"
314;"Unie Prahy 4";"Unie Prahy 4";"Unie Prahy 4";"Unie-P4";3;"001,102,143";"";"K"
315;"ZELENÁ pro MORAVU";"ZELENÁ pro MORAVU";"ZELENÁ pro MORAVU";"ZEL_MOR";2;"005,138";"";"K"
316;"Sdružení nezávislých kandidátů";"Sdružení nezávislých kandidátů";"Sdružení nezávislých kandidátů";"NPM+SNK";2;"126,129";"";"K"
319;"NEZÁVISLÍ KANDIDÁTI+STRANA ZA ŽIVOTNÍ JISTOTY+STRANA VENKOVA+STRANA ZDRAVÉHO ROZUMU=SPOJENÉ OBČANSKÉ SÍLY";"NK+ST.ZA Ž.JIST.+ST.VENK.+ST.ZDR.ROZ.=SPOJ.OB.SÍLY";"NK+SŽJ+SV+SZR=SPOJ.OBČAN.SÍLY";"SP.OBČ.S";3;"020,101,137";"";"K"
320;"Dělnická strana - akce za snížení poslaneckých platů";"Dělnická strana-akce za snížení poslaneckých platů";"Děl.str.-za snížení posl.platů";"DS_PLATY";2;"043,153";"";"K"
321;"ZHN a SNK společně";"ZHN a SNK společně";"ZHN a SNK společně";"ZHN+SNK";2;"109,129";"";"K"
322;"ED, VPM, SOS - Volba pro kraj";"ED, VPM, SOS - Volba pro kraj";"ED, VPM, SOS - Volba pro kraj";"SD-SN,VPM,SOS";3;"103,113,143";"";"K"
323;"Strana za životní jistoty - Strana občanů republiky České";"Str.za životní jistoty-Str.občanů republiky České";"Str.za ž.j.-Str.obč.rep.České";"SŽJ+SORČ";2;"020,156";"";"K"
324;"Zelení a otevřená společnost";"Zelení a otevřená společnost";"Zelení a otevřená společnost";"SZ+SOS+T2020";3;"005,103,136";"";"K"
325;"Koalice jižní Morava";"Koalice jižní Morava";"Koalice jižní Morava";"JIŽ.MOR.";3;"020,083,101";"";"K"
328;"Koalice Dělnické a Národní strany";"Koalice Dělnické a Národní strany";"Koal.Dělnické a Národní strany";"DS+NS";2;"152,153";"";"K"
330;"Evropští demokraté a Nezávislí starostové pro kraj";"Evropští demokraté a Nezávislí starostové pro kraj";"Evr.demokr.a Nez.star.pro kraj";"SD-SN+NSK";2;"143,166";"";"K"
331;"Koalice "Unie pro sport a zdraví - Demokratická regionální strana"";"Koal."Unie pro sport a zdraví-Demokr.region.str."";"Unie pro sp.a zdr.-Dem.reg.st.";"USZ+DRS";2;"110,119";"";"K"
332;"Koalice za zrušení Senátu a za obnovení trestu smrti-Vaším hlasem nepodpoříte platy stran.funkcionářů,ale zdravotn.kraje";"Vaším hlasem ... pro zdravotnictví našeho kraje";"Váš hlas ... pro zdravotnictví";"Váš hlas";2;"128,137";"";"K"
334;"Strana pro otevřenou společnost a Hnutí nezávislých za harmonický rozvoj obcí a měst";"Str.pro otevř.spol. a Hn.nez.za harm.rozv.ob.a m.";"Koalice SOS, HNHRM";"SOSHNHRM";2;"103,112";"";"K"
338;"Koalice pro Českou republiku";"Koalice pro Českou republiku";"Koalice pro Českou republiku";"Koal_ČR";7;"009,040,068,157,159,165,167";"";"K"
339;"Koalice KDU-ČSL, Nestraníci";"Koalice KDU-ČSL, Nestraníci";"Koalice KDU-ČSL, Nestraníci";"KDU-ČSL+Nestran";2;"001,181";"";"K"
340;"Koalice KDU-ČSL, STAN";"Koalice KDU-ČSL, STAN";"Koalice KDU-ČSL, STAN";"";2;"001,166";"";"K"
341;"Koalice SZ, SN";"Koalice SZ, SN";"Koalice SZ, SN";"";2;"005,158";"";"K"
342;"Volba pro lidi";"Volba pro lidi";"Volba pro lidi";"Pro lidi";2;"083,102";"";"K"
344;"Koalice KDU-ČSL, SNK ED, Nestraníci";"Koalice KDU-ČSL, SNK ED, Nestraníci";"Koalice KDU-ČSL,SNK ED,Nestran";"Koalice pro PaK";3;"001,129,181";"";"K"
345;"Moravskoslezská koalice ČMUS, Moravané a MNS";"Moravskoslezská koalice ČMUS, Moravané a MNS";"Moravskosl.k.ČMUS,Moravané,MNS";"MSLK_96";3;"032,046,083";"";"K"
346;"Koalice KDU-ČSL, ODA, Nestraníci";"Koalice KDU-ČSL, ODA, Nestraníci";"Koalice KDU-ČSL, ODA, Nestran.";"";3;"001,013,181";"";"K"
347;"Koalice SNK ED, SN";"Koalice SNK ED, SN";"Koalice SNK ED, SN";"";2;"129,158";"";"K"
348;"Koalice SNK ED, COEX";"Koalice SNK ED, COEX";"Koalice SNK ED, COEX";"";2;"072,129";"";"K"
349;"Koalice KDU-ČSL, VPM";"Koalice KDU-ČSL, VPM";"Koalice KDU-ČSL, VPM";"KDU_VPM";2;"001,113";"";"K"
350;"Koalice CZ, US-DEU, ODA";"Koalice CZ, US-DEU, ODA";"Koalice CZ, US-DEU, ODA";"";3;"013,102,133";"";"K"
351;"Sdružení KDU-ČSL, ČSNS, NK";"Sdružení KDU-ČSL, ČSNS, NK";"Sdružení KDU-ČSL, ČSNS, NK";"";3;"001,002,080";"";"D"
352;"Sdružení KDU-ČSL, KSČM, NK";"Sdružení KDU-ČSL, KSČM, NK";"Sdružení KDU-ČSL, KSČM, NK";"";3;"001,047,080";"";"D"
353;"Sdružení KDU-ČSL, ODS, NK";"Sdružení KDU-ČSL, ODS, NK";"Sdružení KDU-ČSL, ODS, NK";"";3;"001,053,080";"";"D"
354;"Sdružení KDU-ČSL, ODS, US-DEU, NK";"Sdružení KDU-ČSL, ODS, US-DEU, NK";"Sdružení KDU-ČSL,ODS,US-DEU,NK";"";4;"001,053,080,102";"";"D"
355;"Sdružení KDU-ČSL, NK";"Sdružení KDU-ČSL, NK";"Sdružení KDU-ČSL, NK";"";2;"001,080";"";"D"
356;"Sdružení KDU-ČSL, DEU, NK";"Sdružení KDU-ČSL, DEU, NK";"Sdružení KDU-ČSL, DEU, NK";"";3;"001,080,081";"";"D"
357;"Sdružení KDU-ČSL, US-DEU, NK";"Sdružení KDU-ČSL, US-DEU, NK";"Sdružení KDU-ČSL, US-DEU, NK";"";3;"001,080,102";"";"D"
358;"Sdružení KDU-ČSL, SKS, NK";"Sdružení KDU-ČSL, SKS, NK";"Sdružení KDU-ČSL, SKS, NK";"";3;"001,080,105";"";"D"
359;"Sdružení ČSNS, SZ, KAN, D92, MDS, NEZ, PB, OK, NK";"Sdružení ČSNS, SZ, KAN, D92, MDS, NEZ, PB, OK, NK";"ČSNS,SZ,KAN,D92,MDS,NEZ,PB,OK,";"";9;"002,005,040,065,068,080,088,098,104";"";"D"
360;"Sdružení ČSNS, ODA, NK";"Sdružení ČSNS, ODA, NK";"Sdružení ČSNS, ODA, NK";"";3;"002,013,080";"";"D"
361;"Sdružení ČSNS, NK";"Sdružení ČSNS, NK";"Sdružení ČSNS, NK";"";2;"002,080";"";"D"
362;"Sdružení SZ, SŽJ, NK";"Sdružení SZ, SŽJ, NK";"Sdružení SZ, SŽJ, NK";"";3;"005,020,080";"";"D"
363;"Sdružení SZ, ODS, NK";"Sdružení SZ, ODS, NK";"Sdružení SZ, ODS, NK";"";3;"005,053,080";"";"D"
364;"Sdružení SZ, NK";"Sdružení SZ, NK";"Sdružení SZ, NK";"";2;"005,080";"";"D"
365;"Sdružení SZ, DEU, NK";"Sdružení SZ, DEU, NK";"Sdružení SZ, DEU, NK";"";3;"005,080,081";"";"D"
366;"Sdružení SZ, MoDS, NK";"Sdružení SZ, MoDS, NK";"Sdružení SZ, MoDS, NK";"";3;"005,080,082";"";"D"
367;"Sdružení SZ, SOS, NK";"Sdružení SZ, SOS, NK";"Sdružení SZ, SOS, NK";"";3;"005,080,103";"";"D"
368;"Sdružení ČSSD, SPR-RSČ, Moravané, NK";"Sdružení ČSSD, SPR-RSČ, Moravané, NK";"Sdruž.ČSSD,SPR-RSČ,Moravané,NK";"";4;"007,011,080,083";"";"D"
369;"Sdružení ČSSD, SŽJ, NK";"Sdružení ČSSD, SŽJ, NK";"Sdružení ČSSD, SŽJ, NK";"";3;"007,020,080";"";"D"
370;"Sdružení ČSSD, SDS, NK";"Sdružení ČSSD, SDS, NK";"Sdružení ČSSD, SDS, NK";"";3;"007,074,080";"";"D"
371;"Sdružení ČSSD, NK";"Sdružení ČSSD, NK";"Sdružení ČSSD, NK";"";2;"007,080";"";"D"
372;"Sdružení SPR-RSČ, NK";"Sdružení SPR-RSČ, NK";"Sdružení SPR-RSČ, NK";"";2;"011,080";"";"D"
373;"Sdružení ODA, ODS, NK";"Sdružení ODA, ODS, NK";"Sdružení ODA, ODS, NK";"";3;"013,053,080";"";"D"
374;"Sdružení ODA, NK";"Sdružení ODA, NK";"Sdružení ODA, NK";"";2;"013,080";"";"D"
375;"Sdružení ODA, DEU, NK";"Sdružení ODA, DEU, NK";"Sdružení ODA, DEU, NK";"";3;"013,080,081";"";"D"
376;"Sdružení ODA, US-DEU, NK";"Sdružení ODA, US-DEU, NK";"Sdružení ODA, US-DEU, NK";"";3;"013,080,102";"";"D"
377;"Sdružení ODA, VPM, NK";"Sdružení ODA, VPM, NK";"Sdružení ODA, VPM, NK";"";3;"013,080,113";"";"D"
378;"Sdružení SŽJ, SDS, NK";"Sdružení SŽJ, SDS, NK";"Sdružení SŽJ, SDS, NK";"";3;"020,074,080";"";"D"
379;"Sdružení SŽJ, NK";"Sdružení SŽJ, NK";"Sdružení SŽJ, NK";"";2;"020,080";"";"D"
380;"Sdružení SŽJ, SOS, NK";"Sdružení SŽJ, SOS, NK";"Sdružení SŽJ, SOS, NK";"";3;"020,080,103";"";"D"
381;"Sdružení CAO, NK";"Sdružení CAO, NK";"Sdružení CAO, NK";"";2;"025,080";"";"D"
382;"Sdružení KAN, NK";"Sdružení KAN, NK";"Sdružení KAN, NK";"";2;"040,080";"";"D"
383;"Sdružení KAN, DEU, NK";"Sdružení KAN, DEU, NK";"Sdružení KAN, DEU, NK";"";3;"040,080,081";"";"D"
384;"Sdružení PA, NK";"Sdružení PA, NK";"Sdružení PA, NK";"";2;"043,080";"";"D"
385;"Sdružení KSČM, SDS, NK";"Sdružení KSČM, SDS, NK";"Sdružení KSČM, SDS, NK";"";3;"047,074,080";"";"D"
386;"Sdružení KSČM, SDS, SV SOS, NK";"Sdružení KSČM, SDS, SV SOS, NK";"Sdružení KSČM, SDS, SV SOS, NK";"";4;"047,074,080,101";"";"D"
387;"Sdružení KSČM, NK";"Sdružení KSČM, NK";"Sdružení KSČM, NK";"";2;"047,080";"";"D"
388;"Sdružení KSČM, Moravané, NK";"Sdružení KSČM, Moravané, NK";"Sdružení KSČM, Moravané, NK";"";3;"047,080,083";"";"D"
389;"Sdružení ODS, NK";"Sdružení ODS, NK";"Sdružení ODS, NK";"";2;"053,080";"";"D"
390;"Sdružení ODS, US-DEU, NK";"Sdružení ODS, US-DEU, NK";"Sdružení ODS, US-DEU, NK";"";3;"053,080,102";"";"D"
391;"Sdružení MDS, NK";"Sdružení MDS, NK";"Sdružení MDS, NK";"";2;"068,080";"";"D"
392;"Sdružení COEX, NK";"Sdružení COEX, NK";"Sdružení COEX, NK";"";2;"072,080";"";"D"
393;"Sdružení SDS, NK";"Sdružení SDS, NK";"Sdružení SDS, NK";"";2;"074,080";"";"D"
394;"Sdružení ČP, NK";"Sdružení ČP, NK";"Sdružení ČP, NK";"";2;"077,080";"";"D"
395;"Sdružení ND, NK";"Sdružení ND, NK";"Sdružení ND, NK";"";2;"079,080";"";"D"
396;"Sdružení DEU, NK";"Sdružení DEU, NK";"Sdružení DEU, NK";"";2;"080,081";"";"D"
397;"Sdružení DEU, US, NK";"Sdružení DEU, US, NK";"Sdružení DEU, US, NK";"";3;"080,081,102";"";"D"
398;"Sdružení MoDS, NK";"Sdružení MoDS, NK";"Sdružení MoDS, NK";"";2;"080,082";"";"D"
399;"Sdružení MoDS, Moravané, NK";"Sdružení MoDS, Moravané, NK";"Sdružení MoDS, Moravané, NK";"";3;"080,082,083";"";"D"
401;"Sdružení NEZ, NK";"Sdružení NEZ, NK";"Sdružení NEZ, NK";"";2;"080,088";"";"D"
402;"Sdružení ŽS, NK";"Sdružení ŽS, NK";"Sdružení ŽS, NK";"";2;"080,092";"";"D"
403;"Sdružení SČK, NK";"Sdružení SČK, NK";"Sdružení SČK, NK";"";2;"080,093";"";"D"
404;"Sdružení SV SOS, NK";"Sdružení SV SOS, NK";"Sdružení SV SOS, NK";"";2;"080,101";"";"D"
405;"Sdružení US-DEU, NK";"Sdružení US-DEU, NK";"Sdružení US-DEU, NK";"";2;"080,102";"";"D"
406;"Sdružení US-DEU, VPM, NK";"Sdružení US-DEU, VPM, NK";"Sdružení US-DEU, VPM, NK";"";3;"080,102,113";"";"D"
407;"Sdružení SOS, NK";"Sdružení SOS, NK";"Sdružení SOS, NK";"";2;"080,103";"";"D"
408;"Sdružení OK, NK";"Sdružení OK, NK";"Sdružení OK, NK";"";2;"080,104";"";"D"
409;"Sdružení SKS, NK";"Sdružení SKS, NK";"Sdružení SKS, NK";"";2;"080,105";"";"D"
410;"Sdružení DRS, NK";"Sdružení DRS, NK";"Sdružení DRS, NK";"";2;"080,110";"";"D"
411;"Sdružení VPM, NK";"Sdružení VPM, NK";"Sdružení VPM, NK";"";2;"080,113";"";"D"
412;"Sdružení SOS, SNK ED, NK";"Sdružení SOS, SNK ED, NK";"Sdružení SOS, SNK ED, NK";"";3;"080,103,129";"";"D"
415;"Sdružení KONS, NK";"Sdružení KONS, NK";"Sdružení KONS, NK";"";2;"024,080";"";"D"
417;"Sdružení N, NK";"Sdružení N, NK";"Sdružení N, NK";"";2;"080,135";"";"D"
