VSTRANA;NAZEVCELK;NAZEV_STRV;ZKRATKAV30;ZKRATKAV8;POCSTR_SLO;SLOZENI;ZKRATKA_OF;TYPVS
607;"Koalice US-DEU, SZ, ODA, KONS, ČSNS2005";"Koalice US-DEU, SZ, ODA, KONS, ČSNS2005";"K.US-DEU,SZ,ODA,KONS,ČSNS2005";"";5;"005,013,024,102,175";"";"K"
608;"Koalice KDU-ČSL, USZ";"Koalice KDU-ČSL, USZ";"Koalice KDU-ČSL, USZ";"";2;"001,119";"";"K"
609;"Unie Prahy 4";"Unie Prahy 4";"Unie Prahy 4";"Unie_P4";3;"001,102,129";"";"K"
610;"Koalice DEUČR, ODA, KAN";"Koalice DEUČR, ODA, KAN";"Koalice DEUČR, ODA, KAN";"";3;"013,040,157";"";"K"
611;"Koalice SZ, NV";"Koalice SZ,NV";"Koalice SZ, NV";"";2;"005,163";"";"K"
612;"Koalice SNK ED, NEZ";"Koalice SNK ED, NEZ";"Koalice SNK ED, NEZ";"";2;"088,129";"";"K"
613;"Koalice SZ, US-DEU, SNK ED";"Koalice SZ, US-DEU, SNK ED";"Koalice SZ, US-DEU, SNK ED";"";3;"005,102,129";"";"K"
614;"Koalice US-DEU, NEZ/DEM";"Koalice US-DEU, NEZ/DEM";"Koalice US-DEU, NEZ/DEM";"";2;"102,172";"";"K"
615;"Koalice KONS, KČ, SP";"Koalice KONS, KČ, SP";"Koalice KONS, KČ, SP";"";3;"024,055,159";"";"K"
616;"Koalice Z, ODA, US-DEU";"Koalice Z, ODA, US-DEU";"Koalice Z, ODA, US-DEU";"";3;"013,102,177";"";"K"
617;"Koalice ODS, SNK ED";"Koalice ODS, SNK ED";"Koalice ODS, SNK ED";"";2;"053,129";"";"K"
618;"Koalice ODH, SNK ED";"Koalice ODH, SNK ED,";"Koalice ODH, SNK ED";"";2;"129,168";"";"K"
620;"Koalice SOS, SNK ED, Z";"Koalice SOS, SNK ED, Z";"Koalice SOS, SNK ED, Z";"";3;"103,129,177";"";"K"
621;"Koalice SOS, LIB";"Koalice SOS, LIB";"Koalice SOS, LIB";"";2;"103,138";"";"K"
623;"Koalice NEZ, SZ";"Koalice NEZ, SZ";"Koalice NEZ, SZ";"";2;"005,088";"";"K"
624;"Koalice ČSSD, ČSNS2005";"Koalice ČSSD, ČSNS2005";"Koalice ČSSD, ČSNS2005";"";2;"007,175";"";"K"
628;""DOHODA PRO JIŽNÍ MORAVU"";""DOHODA PRO JIŽNÍ MORAVU"";""DOHODA PRO JIŽNÍ MORAVU"";"DOHODAJM";13;"002,009,040,132,159,165,167,172,176,178,701,706,707";"";"K"
629;"Strana zdravého rozumu a Česká strana národně socialistická";"Koalice Rozumní, ČSNS2005";"Koalice Rozumní, ČSNS2005";"Rozum.+ČSNS2005";2;"137,175";"";"K"
631;"Nejen hasiči a živnostníci pro kraj - www.hnpd.cz, www.sdzp.cz";"Nejen has.a živn.pro kraj-www.hnpd.cz,www.sdzp.cz";"Nejen hasiči a živn.pro kraj";"HAS+ŽIVN";2;"165,167";"";"K"
632;"Dělnická strana - za zrušení poplatků ve zdravotnictví";"Dělnická strana-za zrušení poplatků ve zdravotn.";"Děln.str.-zrušení popl.ve zdr.";"DS_POPL";2;"153,156";"";"K"
633;"Dohoda pro změnu";"Dohoda pro změnu";"Dohoda pro změnu";"PROZMENU";4;"002,055,137,178";"";"K"
634;"Alternativa 2008";"Alternativa 2008";"Alternativa 2008";"Alt_2008";3;"102,103,138";"";"K"
635;"Konzervativní koalice";"Konzervativní koalice";"Konzervativní koalice";"KONZKOAL";4;"021,024,055,079";"";"K"
636;"DOHODA pro Ústecký kraj";"DOHODA pro Ústecký kraj";"DOHODA pro Ústecký kraj";"DOHODA_Ú";2;"102,138";"";"K"
637;"Koalice nestraníků";"Koalice nestraníků";"Koalice nestraníků";"KOALNEST";2;"158,181";"";"K"
639;"Šance pro náš kraj";"Šance pro náš kraj";"Šance pro náš kraj";"ŠANCE_OL";3;"102,103,129";"";"K"
640;"STŘEDOČEŠI";"STŘEDOČEŠI";"STŘEDOČEŠI";"STŘEDOČ.";3;"040,102,103";"";"K"
641;"Koalice US-DEU a SOS";"Koalice US-DEU a SOS";"Koalice US-DEU a SOS";"USDEUSOS";2;"102,103";"";"K"
642;"DOHODA pro Vysočinu";"DOHODA pro Vysočinu";"DOHODA pro Vysočinu";"DOHODAVY";3;"102,132,159";"";"K"
643;"STAROSTOVÉ A NEZÁVISLÍ a Zlínské hnutí nezávislých";"STAROSTOVÉ A NEZÁVISLÍ a Zlínské hnutí nezávislých";"STAROSTOVÉ A ZHN";"STAN+ZHN";2;"109,166";"";"K"
644;"Koalice US-DEU, SOS a VPM";"Koalice US-DEU, SOS a VPM";"Koalice US-DEU, SOS a VPM";"USSOSVPM";3;"102,103,113";"";"K"
649;"Koalice US-DEU a KAN";"Koalice US-DEU a KAN";"Koalice US-DEU a KAN";"USDEUKAN";2;"040,102";"";"K"
654;"Suverenita";"Suverenita";"Suverenita";"Suveren.";2;"137,192";"";"K"
656;""STAROSTOVÉ A NEZÁVISLÍ - VAŠE ALTERNATIVA"";""STAROSTOVÉ A NEZÁVISLÍ - VAŠE ALTERNATIVA"";""STAR.A NEZ.-VAŠE ALTERNATIVA"";"VAŠEALT.";2;"166,702";"";"K"
657;"Koalice Rozumní a NEZ/DEM";"Koalice Rozumní a NEZ/DEM";"Koalice Rozumní a NEZ/DEM";"";2;"137,172";"";"K"
659;"Koalice STAN, TOP 09";"Koalice STAN, TOP 09";"Koalice STAN, TOP 09";"TOP+STAN";2;"166,721";"";"K"
660;"Koalice TOP 09 a SLK";"Koalice TOP 09 a SLK";"Koalice TOP 09 a SLK";"";2;"703,721";"";"K"
661;"Koalice SPO a SZ";"Koalice SPO a SZ";"Koalice SPO a SZ";"";2;"005,724";"";"K"
663;"Koalice SNK ED a VV";"Koalice SNK ED a VV";"Koalice SNK ED a VV";"";2;"129,144";"";"K"
664;"Koalice VPM a VV";"Koalice VPM a VV";"Koalice VPM a VV";"";2;"113,144";"";"K"
665;"Koalice SZ, US-DEU a TOP 09";"Koalice SZ, US-DEU a TOP 09";"Koalice SZ, US-DEU a TOP 09";"";3;"005,102,721";"";"K"
666;"Koalice DOMOV a Pražané za svá práva";"Koalice DOMOV a Pražané za svá práva";"Koalice DOMOV a PP";"";2;"155,744";"";"K"
667;"Koalice KDU-ČSL, SZ, KONS, KAN, Rozumní, ČPS";"Koalice KDU-ČSL, SZ, KONS, KAN, Rozumní, ČPS";"KDU-ČSL,SZ,KONS,KAN,Rozum.,ČPS";"";6;"001,005,024,040,137,720";"";"K"
668;"Koalice KDU-ČSL, HNHRM";"Koalice KDU-ČSL, HNHRM";"Koalice KDU-ČSL, HNHRM";"";2;"001,112";"";"K"
669;"Koalice SZ, Rozumní a SPO";"Koalice SZ, Rozumní a SPO";"Koalice SZ, Rozumní a SPO";"";3;"005,137,724";"";"K"
670;"Koalice VV, SZ a NV";"Koalice VV, SZ a NV";"Koalice VV, SZ a NV";"";3;"005,144,163";"";"K"
671;"Koalice DSZ a SPO";"Koalice DSZ a SPO";"Koalice DSZ a SPO";"";2;"715,724";"";"K"
672;"Koalice VPM a STAN";"Koalice VPM a STAN";"Koalice VPM a STAN";"";2;"113,166";"";"K"
673;"Koalice DRS, TOP 09 a Věci veřejné";"Koalice DRS, TOP 09 a Věci veřejné";"Koalice DRS, TOP 09 a VV";"";3;"110,144,721";"";"K"
674;"Koalice TOP 09 a Věci veřejné";"Koalice TOP 09 a Věci veřejné";"Koalice TOP 09 a VV";"";2;"144,721";"";"K"
676;"Koalice KDU-ČSL, SZ, NEZ a US-DEU";"Koalice KDU-ČSL, SZ, NEZ a US-DEU";"Koalice KDU-ČSL,SZ,NEZ,US-DEU";"";4;"001,005,088,102";"";"K"
677;"Koalice Moravané, ČSNS2005";"Koalice Moravané, ČSNS2005";"Koalice Moravané, ČSNS2005";"";2;"083,175";"";"K"
678;"Koalice Senátor pro Ostravu";"Koalice Senátor pro Ostravu";"Koalice Senátor pro Ostravu";"ProOstr.";6;"024,040,068,159,200,706";"";"K"
679;"Koalice Rozumní a SPO";"Koalice Rozumní a SPO";"Koalice Rozumní a SPO";"Rozumní+SPO";2;"137,724";"";"K"
680;"Koalice HpT a SZ";"Koalice HpT a SZ";"Koalice HpT a SZ";"";2;"005,174";"";"K"
681;"Koalice NEZÁVISLÍ a SPO";"Koalice NEZÁVISLÍ a SPO";"Koalice NEZÁVISLÍ a SPO";"";2;"088,724";"";"K"
682;"Koalice ČSSD a SPO";"Koalice ČSSD a SPO";"Koalice ČSSD a SPO";"";2;"007,724";"";"K"
683;"Koalice KDU-ČSL, Rozumní a ČPS";"Koalice KDU-ČSL, Rozumní a ČPS";"Koalice KDU-ČSL, Rozumní a ČPS";"";3;"001,137,720";"";"K"
684;"Koalice Svobodní a ČPS";"Koalice Svobodní a ČPS";"Koalice Svobodní a ČPS";"";2;"714,720";"";"K"
685;"Koalice KONS, SZ a US-DEU";"Koalice KONS, SZ a US-DEU";"Koalice KONS, SZ a US-DEU";"";3;"005,024,102";"";"K"
686;"Koalice HNHRM a TOP 09";"Koalice HNHRM a TOP 09";"Koalice HNHRM a TOP 09";"";2;"112,721";"";"K"
687;"Koalice TOP 09 a ODS";"Koalice TOP 09 a ODS";"Koalice TOP 09 a ODS";"";2;"053,721";"";"K"
688;"Koalice KDU-ČSL a EDS";"Koalice KDU-ČSL a EDS";"Koalice KDU-ČSL a EDS";"";2;"001,709";"";"K"
689;"Koalice Rozumní a DSZ";"Koalice Rozumní a DSZ";"Koalice Rozumní a DSZ";"";2;"137,715";"";"K"
690;"Koalice KDU-ČSL a Zelení";"Koalice KDU-ČSL a Zelení";"Koalice KDU-ČSL a Zelení";"";2;"001,177";"";"K"
691;"Koalice SNK ED a Suveren.";"Koalice SNK ED a Suveren.";"Koalice SNK ED a Suveren.";"";2;"129,137";"";"K"
692;"Koalice SONOB, SOSPRAHA a Občané";"Koalice SONOB, SOSPRAHA a Občané";"Koalice SONOB,SOSPRAHA,Občané";"";3;"148,176,718";"";"K"
693;"Koalice Moravané a Rozumní";"Koalice Moravané a Rozumní";"Koalice Moravané a Rozumní";"";2;"083,137";"";"K"
694;"Koalice KDU-ČSL a SN";"Koalice KDU-ČSL a SN";"Koalice KDU-ČSL a SN";"";2;"001,158";"";"K"
695;"Koalice ALTER. a Občané";"Koalice ALTER. a Občané";"Koalice ALTER. a Občané";"ALTER+OB";2;"702,718";"";"K"
696;"Lepší Kladno";"Lepší Kladno";"Lepší Kladno";"OBČ+KAN";2;"040,718";"";"K"
698;"Koalice Česká strana regionů a VÝCHODOČEŠI";"Koalice Česká strana regionů a VÝCHODOČEŠI";"Koalice Čes.str.reg. a VÝCHOD.";"ČSR+VČ";2;"756,770";"";"K"
699;"Koalice KDU-ČSL, SZ, ČSSD";"Koalice KDU-ČSL, SZ, ČSSD";"Koalice KDU-ČSL, SZ, ČSSD";"ČSSDKDSZ";3;"001,005,007";"";"K"
700;"Koalice ČS a DOMOV";"Koalice ČS a DOMOV";"Koalice ČS a DOMOV";"ČS+DOMOV";2;"155,759";"";"K"
701;"Doktoři (za uzdravení společnosti)";"Doktoři (za uzdravení společnosti)";"Doktoři (za uzdravení společ.)";"Doktoři";1;"701";"Doktoři";"S"
702;"ALTERNATIVA";"ALTERNATIVA";"ALTERNATIVA";"ALTERNATIVA";1;"702";"ALTERNATIVA";"S"
703;"Starostové pro Liberecký kraj";"Starostové pro Liberecký kraj";"Starostové pro Liberecký kraj";"SLK";1;"703";"SLK";"S"
704;"Severočeši.cz";"Severočeši.cz";"Severočeši.cz";"S.cz";1;"704";"S.cz";"S"
705;"Strana podnikatelů a živnostníků";"Strana podnikatelů a živnostníků";"Str.podnikatelů a živnostníků";""SPŽ"";1;"705";""SPŽ"";"S"
706;"Nezávislí starostové";"Nezávislí starostové";"Nezávislí starostové";"NEST";1;"706";"NEST";"S"
707;""Evropští demokraté za právo, morálku a spravedlnost"";""Evrop.demokraté za právo, morálku a spravedlnost"";""Evr.dem.za pr.,morál.,sprav."";"ED-MS";1;"707";"";"S"
708;"Strana pro ekologii a zdraví";"Strana pro ekologii a zdraví";"Strana pro ekologii a zdraví";"SEZ";1;"708";"SEZ";"S"
709;"Evropská demokratická strana";"Evropská demokratická strana";"Evropská demokratická strana";"EDS";1;"709";"EDS";"S"
710;"Liga spořádaných lidí";"Liga spořádaných lidí";"Liga spořádaných lidí";"LSL";1;"710";"LSL";"S"
711;"Lidé a Politika";"Lidé a Politika";"Lidé a Politika";"LAP";1;"711";"LAP";"S"
712;""Mírové hnutí 2007"";""Mírové hnutí 2007"";""Mírové hnutí 2007"";""MH-2007"";1;"712";""MH-2007"";"S"
713;"Libertas.cz";"Libertas.cz";"Libertas.cz";"Libertas";1;"713";"Libertas";"S"
714;"Strana svobodných občanů";"Strana svobodných občanů";"Strana svobodných občanů";"Svobodní";1;"714";"Svobodní";"S"
715;"Demokratická strana zelených";"Demokratická strana zelených";"Demokratická strana zelených";"DSZ";1;"715";"DSZ";"S"
716;"Strana soukromníků České republiky";"Strana soukromníků České republiky";"Strana soukromníků ČR";"Soukromníci";1;"716";"Soukromníci";"S"
717;"ČESKÝ POLITICKÝ STŘED";"ČESKÝ POLITICKÝ STŘED";"ČESKÝ POLITICKÝ STŘED";"ČPST";1;"717";"ČPST";"S"
718;"OBČANÉ.CZ";"OBČANÉ.CZ";"OBČANÉ.CZ";"Občané";1;"718";"Občané";"S"
719;"Hnutí Za Telefonování Zdarma";"Hnutí Za Telefonování Zdarma";"Hnutí Za Telefonování Zdarma";"HZTZ.CZ";1;"719";"HZTZ.CZ";"S"
720;"Česká pirátská strana";"Česká pirátská strana";"Česká pirátská strana";"Piráti";1;"720";"Piráti";"S"
721;"TOP 09";"TOP 09";"TOP 09";"TOP 09";1;"721";"TOP 09";"S"
722;"Česká realistická strana";"Česká realistická strana";"Česká realistická strana";"ČRS";1;"722";"ČRS";"S"
723;"STOP";"STOP";"STOP";"STOP";1;"723";"STOP";"S"
724;"Strana Práv Občanů";"Strana Práv Občanů";"Strana Práv Občanů";"SPO";1;"724";"SPO";"S"
725;"Victoria.cz";"Victoria.cz";"Victoria.cz";"Victoria";1;"725";"Victoria";"S"
726;"Nový Impuls";"Nový Impuls";"Nový Impuls";"NI";1;"726";"NI";"S"
727;"VOLBA PRO KLADNO";"VOLBA PRO KLADNO";"VOLBA PRO KLADNO";"VPK";1;"727";"VPK";"S"
728;"Pro Třebíč";"Pro Třebíč";"Pro Třebíč";"ProTR";1;"728";"ProTR";"S"
729;"POLITIKA TRADIČNÍCH HODNOT";"POLITIKA TRADIČNÍCH HODNOT";"POLITIKA TRADIČNÍCH HODNOT";"PTH";1;"729";"PTH";"S"
730;"Nová budoucnost";"Nová budoucnost";"Nová budoucnost";"NB";1;"730";"NB";"S"
731;"Ženy za Brod";"Ženy za Brod";"Ženy za Brod";"ŽB";1;"731";"ŽB";"S"
732;"NÁŠ HLUČÍN";"NÁŠ HLUČÍN";"NÁŠ HLUČÍN";"NH";1;"732";"NH";"S"
733;""Volím Orlovou"";""Volím Orlovou"";""Volím Orlovou"";""VO"";1;"733";""VO"";"S"
734;"Občané městu, město občanům";"Občané městu, město občanům";"Občané městu, město občanům";"OMMO";1;"734";"OMMO";"S"
735;"Nezávislí pro Bílinu";"Nezávislí pro Bílinu";"Nezávislí pro Bílinu";"N-BÍLINA";1;"735";"NEZÁVISLÍ-BÍLINA";"S"
736;"SDRUŽENÍ PRO REPUBLIKU - REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA";"SDR.PRO REP.-REPUBLIKÁNSKÁ STR.ČECH,MORAVY,SLEZSKA";"SPR-REP.STR.ČECH,MORAVY,SLEZ.";"SPR-RSČMS";1;"736";"SPR-RSČMS";"S"
737;"ČESKÁ NEZÁVISLÁ";"ČESKÁ NEZÁVISLÁ";"ČESKÁ NEZÁVISLÁ";""ČNEZ"";1;"737";""ČNEZ"";"S"
738;"Jundrováci";"Jundrováci";"Jundrováci";"Jundrováci";1;"738";"Jundrováci";"S"
739;"Královopolští patrioti";"Královopolští patrioti";"Královopolští patrioti";"KPP";1;"739";"KPP";"S"
740;"Strana demokratické obnovy";"Strana demokratické obnovy";"Strana demokratické obnovy";"SDeO";1;"740";"SDeO";"S"
741;"Hnutí nezávislých za všestranný rozvoj Slatiny";"Hnutí nezávislých za všestranný rozvoj Slatiny";"Hn.nez.za všestr.rozv.Slatiny";"HNVRS";1;"741";"HNVRS";"S"
742;"Strakonická Veřejnost";"Strakonická Veřejnost";"Strakonická Veřejnost";"SV";1;"742";"SV";"S"
743;"Hnutí O co jim jde?!";"Hnutí O co jim jde?!";"Hnutí O co jim jde?!";"OCJJ";1;"743";"OCJJ";"S"
744;"Pražané za svá práva";"Pražané za svá práva";"Pražané za svá práva";"PP";1;"744";"PP";"S"
745;"Bílinští sociální demokraté";"Bílinští sociální demokraté";"Bílinští sociální demokraté";"BSD";1;"745";"BSD";"S"
746;"OSMA - občané svému městu";"OSMA - občané svému městu";"OSMA - občané svému městu";"OSMA";1;"746";"OSMA";"S"
747;"ProKraj";"ProKraj";"ProKraj";"ProKraj";1;"747";"ProKraj";"S"
748;"Společnost pro Třinec";"Společnost pro Třinec";"Společnost pro Třinec";"SpT";1;"748";"SpT";"S"
749;"Konzervativní aliance 2014";"Konzervativní aliance 2014";"Konzervativní aliance 2014";"KA14";1;"749";"KA14";"S"
750;"Desítka pro domácí";"Desítka pro domácí";"Desítka pro domácí";"DPD";1;"750";"DPD";"S"
751;"VLASTENECKÁ STRANA";"VLASTENECKÁ STRANA";"VLASTENECKÁ STRANA";"VS";1;"751";"VS";"S"
752;"Zdravé Hradiště";"Zdravé Hradiště";"Zdravé Hradiště";"ZH";1;"752";"ZH";"S"
753;"Občané pro Budějovice";"Občané pro Budějovice";"Občané pro Budějovice";"HOPB";1;"753";"HOPB";"S"
754;"Občanské hnutí pro Mimoň";"Občanské hnutí pro Mimoň";"Občanské hnutí pro Mimoň";"OHM";1;"754";"OHM";"S"
755;"Ostravak";"Ostravak";"Ostravak";"Ostravak";1;"755";"Ostravak";"S"
756;"Česká strana regionů";"Česká strana regionů";"Česká strana regionů";"ČSR";1;"756";"ČSR";"S"
757;"Sdružení nezávislých Holešovska";"Sdružení nezávislých Holešovska";"Sdruž.nezávislých Holešovska";"SNH";1;"757";"SNH";"S"
758;"Naše Beskydy";"Naše Beskydy";"Naše Beskydy";"NBeskydy";1;"758";"NBeskydy";"S"
759;"Česká Suverenita";"Česká Suverenita";"Česká Suverenita";"ČS";1;"759";"ČS";"S"
760;"Lidové fórum";"Lidové fórum";"Lidové fórum";"LF";1;"760";"LF";"S"
761;"NÁRODNÍ FRONTA";"NÁRODNÍ FRONTA";"NÁRODNÍ FRONTA";"NF";1;"761";"NF";"S"
762;"OBČANÉ 2011-SPRAVEDLNOST PRO LIDI";"OBČANÉ 2011-SPRAVEDLNOST PRO LIDI";"OBČANÉ 2011-SPRAVEDL. PRO LIDI";"OBČANÉ 2011";1;"762";"OBČANÉ 2011";"S"
763;"Strana Globální Odpovědnosti";"Strana Globální Odpovědnosti";"Strana Globální Odpovědnosti";"SGO";1;"763";"SGO";"S"
764;"Národní socialisté";"Národní socialisté";"Národní socialisté";"NÁR.SOC.";1;"764";"NÁR.SOC.";"S"
765;"Strana přátel časop.MAXIM a jejich přátel za max.svobodu projevu,za vybudování mocné armády a život bez zbyteč.zákazů";"Strana přátel časop.MAXIM za maxim.svobodu projevu";"Strana přátel časopisu MAXIM";""MAXIM"";1;"765";""MAXIM"";"S"
766;"JIHOČEŠI 2012";"JIHOČEŠI 2012";"JIHOČEŠI 2012";"JIH 12";1;"766";"JIH 12";"S"
767;"Strana rovných příležitostí";"Strana rovných příležitostí";"Strana rovných příležitostí";"SRP";1;"767";"SRP";"S"
768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"ANO";"S"
769;"Řád národa - Vlastenecká unie";"Řád národa - Vlastenecká unie";"Řád národa - Vlastenecká unie";"ŘN - VU";1;"769";"ŘN - VU";"S"
770;"VÝCHODOČEŠI";"VÝCHODOČEŠI";"VÝCHODOČEŠI";"VČ";1;"770";"VČ";"S"
771;"politické hnutí Změna";"politické hnutí Změna";"politické hnutí Změna";"Změna";1;"771";"Změna";"S"
772;"HOZK";"HOZK";"HOZK";"HOZK";1;"772";"HOZK";"S"
773;"Středočeši2012.cz";"Středočeši2012.cz";"Středočeši2012.cz";"S2012";1;"773";"S2012";"S"
774;"PRO";"PRO";"PRO";"PRO";1;"774";"PRO";"S"
775;"ZVUK 12";"ZVUK 12";"ZVUK 12";"ZVUK 12";1;"775";"ZVUK 12";"S"
776;"PATRIOTI";"PATRIOTI";"PATRIOTI";"PATRIOTI";1;"776";"PATRIOTI";"S"
777;"Strana Češi";"Strana Češi";"Strana Češi";"Češi";1;"777";"Češi";"S"
778;"za Morální Očistu Regionu";"za Morální Očistu Regionu";"za Morální Očistu Regionu";"M.O.R.";1;"778";"M.O.R.";"S"
779;"Starostové pro občany";"Starostové pro občany";"Starostové pro občany";"STO";1;"779";"STO";"S"
780;"Nová budoucnost pro Liberecký kraj";"Nová budoucnost pro Liberecký kraj";"Nová budoucn.pro Liberecký kr.";"NBPLK";1;"780";"NBPLK";"S"
781;"Volba lidu 21.století";"Volba lidu 21.století";"Volba lidu 21.století";"VL21";1;"781";"VL21";"S"
782;"Hnutí FAIR PLAY";"Hnutí FAIR PLAY";"Hnutí FAIR PLAY";"FairPlay";1;"782";"HnutiFairPlay.cz";"S"
783;"Česká strana selského rozumu";"Česká strana selského rozumu";"Česká strana selského rozumu";"Čssr";1;"783";"Čssr";"S"
784;"Zemští Demokraté";"Zemští Demokraté";"Zemští Demokraté";"ZEDEM";1;"784";"ZEDEM";"S"
785;"PRO Zdraví a Sport";"PRO Zdraví a Sport";"PRO Zdraví a Sport";"PRO ZS";1;"785";"PRO ZS";"S"
786;"Občanská sounáležitost";"Občanská sounáležitost";"Občanská sounáležitost";"OS";1;"786";"OS";"S"
787;"Sdružení nezávislých občanů Prahy";"Sdružení nezávislých občanů Prahy";"Sdruž.nezáv.občanů Prahy";"SNOP";1;"787";"SNOP";"S"
788;"Občané České republiky";"Občané České republiky";"Občané České republiky";"OČR";1;"788";"OČR";"S"
789;"Strana důchodců Františka Burdy";"Strana důchodců Františka Burdy";"Strana důchodců Frant.Burdy";"SDFB";1;"789";"SDFB";"S"
790;"Pardubice pro lidi";"Pardubice pro lidi";"Pardubice pro lidi";"PPL";1;"790";"PPL";"S"
791;"Pro Prahu";"Pro Prahu";"Pro Prahu";"HPP";1;"791";"HPP";"S"
792;"Úsvit - Národní Koalice";"Úsvit - Národní Koalice";"Úsvit - Národní Koalice";"Úsvit";1;"792";"Úsvit";"S"
793;"Nový směr";"Nový směr";"Nový směr";"NOS";1;"793";"NOS";"S"
794;"Romská demokratická strana";"Romská demokratická strana";"Romská demokratická strana";"RDS";1;"794";"RDS";"S"
795;"Liberálně ekologická strana";"Liberálně ekologická strana";"Liberálně ekologická strana";"LES";1;"795";"LES";"S"
796;"Ústečané";"Ústečané";"Ústečané";"Ú";1;"796";"Ú";"S"
797;"Zlín 21";"Zlín 21";"Zlín 21";"Z21";1;"797";"Z21";"S"
798;"Náš Prostějov";"Náš Prostějov";"Náš Prostějov";"NPV";1;"798";"NPV";"S"
799;"Naše Město F-M";"Naše Město F-M";"Naše Město F-M";"NMFM";1;"799";"NMFM";"S"
1001;"ANTIBURSÍK - STOP EKOTERORU !";"ANTIBURSÍK - STOP EKOTERORU !";"ANTIBURSÍK - STOP EKOTERORU !";"ABS";1;"1001";"ABS";"S"
1002;"Republika";"Republika";"Republika";"Republika";1;"1002";"Republika";"S"
1003;"Alternativa pro Plzeň";"Alternativa pro Plzeň";"Alternativa pro Plzeň";"APPlzeň.cz";1;"1003";"APPlzeň.cz";"S"
1004;"Patrioti České republiky";"Patrioti České republiky";"Patrioti České republiky";"Patrioti ČR";1;"1004";"Patrioti ČR";"S"
1005;"evropani.cz";"evropani.cz";"evropani.cz";"evropani";1;"1005";"evropani";"S"
1006;"Občanská konzervativní strana";"Občanská konzervativní strana";"Občanská konzervativní strana";"O.K. strana";1;"1006";"O.K. strana";"S"
1007;"Hnutí dobrých proměn";"Hnutí dobrých proměn";"Hnutí dobrých proměn";"HDP";1;"1007";"HDP";"S"
1008;"Pražané.cz";"Pražané.cz";"Pražané.cz";"Pražané";1;"1008";"Pražané";"S"
1009;"Jižní Město - náš domov";"Jižní Město - náš domov";"Jižní Město - náš domov";"JM-ND";1;"1009";"JM-ND";"S"
1010;"HNUTÍ SOCIÁLNĚ SLABÝCH";"HNUTÍ SOCIÁLNĚ SLABÝCH";"HNUTÍ SOCIÁLNĚ SLABÝCH";"HSS";1;"1010";"HSS";"S"
1011;"Toryové";"Toryové";"Toryové";"TOR";1;"1011";"TOR";"S"
1012;"ÚSTECKÉ FÓRUM OBČANŮ";"ÚSTECKÉ FÓRUM OBČANŮ";"ÚSTECKÉ FÓRUM OBČANŮ";"UFO";1;"1012";"UFO";"S"
1013;"Politické hnutí OBRODA";"Politické hnutí OBRODA";"Politické hnutí OBRODA";"Obroda";1;"1013";"Obroda";"S"
1014;"Občané pro Lochotín";"Občané pro Lochotín";"Občané pro Lochotín";"OPL";1;"1014";"OPL";"S"
